Country Name,Country Code,Indicator Name,Indicator Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,66.08591238,66.09911744,66.07061911,66.01490654,65.93935266,65.85044773,65.754682,65.65854572,65.56852916,65.49112256,65.43281617,65.40092206,65.39058909,65.38446662,65.38004781,65.37670343,65.37380427,65.3707211,65.3668247,65.36148586,65.35454978,65.33511379,65.28206913,65.19829226,65.08865337,64.95802264,64.81127028,64.65326648,64.48888141,64.32298528,64.16129655,63.99926058,63.82520852,63.63829144,63.43925313,63.2288374,63.00778806,62.77684889,62.5367637,62.28827629,62.00288376,61.92753399,61.88116579,61.83514927,61.79093968
Africa Eastern and Southern,AFE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,20.84331729,21.16701126,21.49038372,21.86115516,22.28073848,22.74024229,23.23914479,23.76461485,24.29511167,24.81819988,25.30204421,25.70413348,26.03005517,26.34718221,26.71776936,27.04267602,27.27827443,27.52102994,27.82074531,28.13705842,28.46868798,28.83150614,29.22103062,29.6390356,30.08783707,30.53727586,30.98764955,31.36297739,31.84899958,32.24006776,32.59036098,32.93809859,33.28670608,33.66731428,34.0775774,34.49068094,34.88121067,35.28298683,35.71471846,36.0973307,36.48832196,36.90854261,37.36057811,37.77230124,38.24144143
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,15.68099945,15.90375753,16.10737783,16.2936658,16.46442689,16.62146657,16.76659028,16.90160347,17.02831161,17.14852013,17.26403451,17.37666018,17.48820261,17.60046724,17.71525953,17.83438494,17.95964891,18.0928569,18.23581436,18.39032675,18.55819952,18.74123813,18.94124801,19.16003464,19.3993594,19.70590958,20.11045302,20.59065792,21.12414813,21.68854751,22.2614799,22.82056916,23.34343913,23.80771367,24.19101664,24.46491184,24.65883457,24.83528212,24.99916452,25.14372588,25.26221034,25.34786203,25.39392506,25.47305296,25.70073526
Africa Western and Central,AFW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,26.99482009,27.64239614,28.2718343,28.88811842,29.50639474,30.11998287,30.68538114,31.32831317,31.92386767,32.51381028,33.09306369,33.7814486,34.33953866,34.88359821,35.41440513,35.94466814,36.49816817,37.08095101,37.67049125,38.25929652,38.85246844,39.45294597,40.04936741,40.64484828,41.23982013,41.83645946,42.43992588,43.01231273,43.57988739,44.15120956,44.72601984,45.29879958,45.87325469,46.44633091,47.0221646,47.60238926,48.1739704,48.74741388,49.3179476,49.89007515,50.47631788,51.07239699,51.68169411,52.28290819,52.85956422
Angola,AGO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,24.12898161,25.43147546,26.76826113,28.13251321,29.51740627,30.91611491,32.32181371,33.72767725,35.12688012,36.5125969,37.87800218,39.21627055,40.52057658,41.78409487,43,44.21100254,45.45560059,46.72065002,47.99300671,49.25952653,50.50706535,51.72247904,52.89262348,54.00435454,55.04452809,56,56.89390327,57.75646329,58.58517458,59.37753163,60.13102895,60.84316104,61.51142239,62.13330752,62.72311579,63.51567833,64.29923025,65.08505251,65.87321367,66.66378232,67.45682702,68.25241636,69.0506189,69.85150322,70.6551379
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,33.73294012,33.90863077,34.0789802,34.24926721,34.42477059,34.61076914,34.81254164,35.0353669,35.28452369,35.56698978,35.8970478,36.28241161,36.71842751,37.20162513,37.72853405,38.29568389,38.89960424,39.53682473,40.20387494,40.89728448,41.61358296,42.35451399,43.15204196,44.02950892,44.97849257,45.99376669,47.07010509,48.20228157,49.38506992,50.61324394,51.88157743,53.29173829,53.86375537,54.29796781,54.73258132,55.15792914,55.57387345,55.98027643,56.37700026,56.76390713,57.14085922,57.5077187,57.86434777,58.21060861,58.5463634
Andorra,AND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,92.93143027,93.78724695,94.47350279,94.97835188,95.28994832,95.39644623,95.3921798,95.37736595,95.3489828,95.30400848,94.76589203,94.31356049,94.01080122,93.75903943,93.54436201,93.35285587,93.17060789,92.98370499,92.77823405,92.54028198,92.25593567,91.89497111,91.46053083,90.98875154,90.51576996,89.95636319,89.37892189,89.05000305,88.94073639,88.84433315,88.76047261,88.68883403,88.62909671,88.58093991,88.54404292,88.51808501,88.50274546,88.49770355,88.50809985,88.53917937,88.59077804,88.66273182,88.75487663,88.82016092,88.88500448
Arab World,ARB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,43.72166006,44.30221262,44.87772553,45.42546187,46.03374879,46.66437465,47.29525292,47.91079541,48.49715576,49.05327912,49.54131263,49.9008739,50.34731929,50.65032789,50.91116224,51.1341913,51.37994453,51.64675574,51.90406592,52.16302461,52.44143058,52.73816843,53.04285261,53.3521914,53.66387699,53.98200029,54.31160236,54.6554574,55.01213065,55.35959816,55.59209773,56.0520809,56.76097789,57.57471356,58.02782389,58.35171227,58.5622938,58.68089416,58.78470253,58.89628794,59.08996899,59.11248471,59.33393251,59.5699408,59.81987524
United Arab Emirates,ARE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.10414613,80.65363454,80.30439556,79.99731023,79.73368108,79.51826204,79.33513027,79.16177218,78.99334478,78.83346967,78.68576844,78.55386269,78.44137401,78.351924,78.28913425,78.25780796,78.26896937,78.38207538,78.59555076,78.90026622,79.28709248,79.74690026,80.27056029,80.84894327,81.47291993,82.21228328,82.55889686,82.7586085,82.96589635,83.1701993,83.37142991,83.56950078,83.76432448,83.95581358,84.14388068,84.32843835,84.50939917,84.68667572,84.86018058,85.02982634,85.19552557,85.35719085,85.51473477,85.6680699,85.81710883
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,82.86395543,83.26898421,83.69052471,84.12224446,84.55807714,84.99195648,85.41781617,85.82958993,86.22121147,86.5866145,86.91973271,87.21502767,87.48158738,87.73077135,87.96458265,88.18536775,88.39547314,88.59724528,88.79303068,88.98517579,89.17602711,89.36829513,89.56167019,89.75246826,89.93972088,90.12337377,90.30337265,90.47966323,90.65219121,90.82090232,90.99300519,91.10722867,91.20412172,91.30145077,91.39753455,91.49230191,91.58568172,91.67760284,91.76799413,91.85678445,91.94390266,92.02927762,92.11283819,92.19451323,92.2742316
Armenia,ARM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,66.17894564,66.47338104,66.75588148,67.01940699,67.25691757,67.46137325,67.62573402,67.74295991,67.80601093,67.80128407,67.71570473,67.54899146,67.31897193,67.04030821,66.72766235,66.39569643,66.05907249,65.73245261,65.43049885,65.16787326,64.95923792,64.82281238,64.7396212,64.66635375,64.59726336,64.53342106,64.47589787,64.42576479,64.38409284,64.35195304,64.3304164,64.32074491,64.32683795,64.35840611,64.41429342,64.49296234,64.59287533,64.71249486,64.85028338,65.00470336,65.17421725,65.35728753,65.56244629,65.6956882,65.81136714
American Samoa,ASM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.68383515,64.75948064,65.88018261,67.04040901,68.23378123,69.45392065,70.69444866,71.94898665,73.21115598,74.47457806,75.75476136,77.18864313,78.82002333,80.55352411,82.30636858,83.99577989,85.53898117,86.85319555,87.85564616,88.46355614,88.60758093,88.55343306,88.43300933,88.2572251,88.03614553,87.77983577,87.49836099,87.20178634,86.90017697,86.60359804,86.31906735,86.02849917,85.71611743,85.38464652,85.0351448,84.66867065,84.28628244,83.88903854,83.47799733,83.05421718,82.62407806,82.21270915,81.7947977,81.37215427,80.9446987
Antigua and Barbuda,ATG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.53911902,34.66906905,34.79748275,34.92203182,35.04038795,35.15022285,35.24920822,35.33501575,35.40531713,35.45778409,35.4900883,35.49926689,35.42649423,35.241819,34.96225184,34.60458718,34.18561949,33.7221432,33.23095275,32.72884261,32.2326072,31.75543482,31.22803749,30.60037434,29.90556672,29.17379957,28.43525787,27.72012658,27.05859066,26.48083508,26.01704479,25.69468986,25.45556186,25.24756677,25.08997261,25,24.92398075,24.85002638,24.77814321,24.70833752,24.64061563,24.57498382,24.5114484,24.45001567,24.39069193
